                 w _Jv_RegisterClasses
                 w __deregister_frame_info
                 w __pthread_initialize_minimal
                 w __register_frame_info
0000000000409fa4 T bind
0000000000409fd0 W __GI_connect
0000000000409fd0 T __libc_connect
0000000000409fd0 W connect
0000000000409ffc T __GI_getsockname
0000000000409ffc T getsockname
000000000040a028 T getsockopt
000000000040a05c W __GI_recv
000000000040a05c T __libc_recv
000000000040a05c W recv
000000000040a068 W __GI_recvfrom
000000000040a068 T __libc_recvfrom
000000000040a068 W recvfrom
000000000040a098 W __GI_send
000000000040a098 T __libc_send
000000000040a098 W send
000000000040a0a4 W __GI_sendto
000000000040a0a4 T __libc_sendto
000000000040a0a4 W sendto
000000000040a0d4 T __GI_setsockopt
000000000040a0d4 T setsockopt
000000000040a10c T __GI_socket
000000000040a10c T socket
000000000040a13c T __GI_sigaddset
000000000040a13c T sigaddset
000000000040a160 T __GI_sigemptyset
000000000040a160 T sigemptyset
000000000040a174 T __GI_signal
000000000040a174 T __bsd_signal
000000000040a174 T bsd_signal
000000000040a174 T signal
000000000040a21c T __sigismember
000000000040a23c T __sigaddset
000000000040a258 T __sigdelset
000000000040a278 t __malloc_largebin_index
000000000040a2d8 T malloc
000000000040ab40 T calloc
000000000040ac38 T realloc
000000000040af94 t __malloc_trim
000000000040b02d T __malloc_consolidate
000000000040b1c7 T free
000000000040b38b T malloc_trim
000000000040b3a8 T __GI_abort
000000000040b3a8 T abort
000000000040b4bc T rand
000000000040b4c8 T __GI_random
000000000040b4c8 T random
000000000040b510 T setstate
000000000040b572 T initstate
000000000040b5e0 T srand
000000000040b5e0 T srandom
000000000040b628 T __GI_setstate_r
000000000040b628 T setstate_r
000000000040b6d0 T __GI_random_r
000000000040b6d0 T random_r
000000000040b72a T __GI_srandom_r
000000000040b72a T srandom_r
000000000040b7d3 T __GI_initstate_r
000000000040b7d3 T initstate_r
000000000040b88c T __GI_atoi
000000000040b88c T atoi
000000000040b8a0 T __GI_strtol
000000000040b8a0 T __GI_strtoll
000000000040b8a0 T strtoimax
000000000040b8a0 T strtol
000000000040b8a0 T strtoll
000000000040b8ac T _stdlib_strto_l
000000000040ba18 T __GI_exit
000000000040ba18 T exit
000000000040ba74 T __GI_execl
000000000040ba74 T execl
000000000040bb94 T __GI_sleep
000000000040bb94 T sleep
000000000040bd34 T __GI_sysconf
000000000040bd34 T sysconf
000000000040be94 T usleep
000000000040bec8 T __GI___uClibc_fini
000000000040bec8 T __uClibc_fini
000000000040bf0e W __pthread_mutex_init
000000000040bf0e W __pthread_mutex_lock
000000000040bf0e W __pthread_mutex_trylock
000000000040bf0e W __pthread_mutex_unlock
000000000040bf0e t __pthread_return_0
000000000040bf11 t __pthread_return_void
000000000040bf11 W _pthread_cleanup_pop_restore
000000000040bf11 W _pthread_cleanup_push_defer
000000000040bf12 t __check_one_fd
000000000040bf47 T __GI___uClibc_init
000000000040bf47 T __uClibc_init
000000000040bf8a T __uClibc_main
000000000040c174 t __restore_rt
000000000040c17d W __GI_sigaction
000000000040c17d T __libc_sigaction
000000000040c17d W sigaction
000000000040c274 T __syscall_error
000000000040c28c T __GI_mmap
000000000040c28c T mmap
000000000040c2bc T __GI_clock_getres
000000000040c2bc T clock_getres
000000000040c2e8 T __GI_execve
000000000040c2e8 T execve
000000000040c310 T __GI_getegid
000000000040c310 T getegid
000000000040c338 T __GI_getgid
000000000040c338 T getgid
000000000040c360 T __GI_getpagesize
000000000040c360 T __getpagesize
000000000040c360 T getpagesize
000000000040c374 T __GI_getuid
000000000040c374 T getuid
000000000040c39c T __GI_mremap
000000000040c39c T mremap
000000000040c3c8 T __GI_munmap
000000000040c3c8 T munmap
000000000040c3f0 W __GI_nanosleep
000000000040c3f0 T __libc_nanosleep
000000000040c3f0 W nanosleep
000000000040c418 T __GI_sbrk
000000000040c418 T sbrk
000000000040c464 T __GI_times
000000000040c464 T times
000000000040c48c T __GI_wait4
000000000040c48c T wait4
000000000040c4bc W __GI___h_errno_location
000000000040c4bc W __h_errno_location
000000000040c4c4 T __GI_wcrtomb
000000000040c4c4 T wcrtomb
000000000040c508 T __GI_wcsrtombs
000000000040c508 T wcsrtombs
000000000040c518 T __GI_wcsnrtombs
000000000040c518 T wcsnrtombs
000000000040c5a4 T __stdio_WRITE
000000000040c638 T __stdio_fwrite
000000000040c73c T __stdio_trans2w_o
000000000040c7d0 T _load_inttype
000000000040c828 T _store_inttype
000000000040c858 T _uintmaxtostr
000000000040c914 T _fpmaxtostr
000000000040cf60 T __GI_mempcpy
000000000040cf60 T mempcpy
000000000040cfbc T __GI_memchr
000000000040cfbc W memchr
000000000040d0ac T __GI_memmove
000000000040d0ac W memmove
000000000040d38c T __GI_memrchr
000000000040d38c T memrchr
000000000040d47c T __GI_strtok_r
000000000040d47c T strtok_r
000000000040d4dc T __GI_inet_aton
000000000040d4dc T inet_aton
000000000040d568 T __dns_lookup
000000000040dcb0 T __open_nameservers
000000000040df08 T __get_hosts_byname_r
000000000040df38 W __GI_raise
000000000040df38 T __raise
000000000040df38 T raise
000000000040df4c T _dl_aux_init
000000000040df64 T __GI_brk
000000000040df64 T brk
000000000040df90 W __GI_poll
000000000040df90 T __libc_poll
000000000040df90 W poll
000000000040dfbc T __GI_fclose
000000000040dfbc T fclose
000000000040e0c0 T __GI_fopen
000000000040e0c0 T fopen
000000000040e0cc T __GI_fseek
000000000040e0cc T fseek
000000000040e0cc T fseeko
000000000040e0d4 T __GI_fseeko64
000000000040e0d4 T fseeko64
000000000040e1b0 T __stdio_adjust_position
000000000040e238 T _stdio_fopen
000000000040e460 T __stdio_seek
000000000040e480 T __GI_fgets
000000000040e480 T fgets
000000000040e4f0 T _stdio_openlist_dec_use
000000000040e5c8 T __GI_fflush_unlocked
000000000040e5c8 T fflush_unlocked
000000000040e714 T __GI_fgets_unlocked
000000000040e714 T fgets_unlocked
000000000040e788 T __GI_strcmp
000000000040e788 T __GI_strcoll
000000000040e788 T strcmp
000000000040e788 T strcoll
000000000040e7b0 T __GI_strpbrk
000000000040e7b0 T strpbrk
000000000040e840 T __GI_strspn
000000000040e840 T strspn
000000000040e8c8 T __GI_rawmemchr
000000000040e8c8 T rawmemchr
000000000040e988 T __GI_strncat
000000000040e988 T strncat
000000000040ea00 T __GI_strdup
000000000040ea00 W strdup
000000000040ea38 t inet_pton4
000000000040eabf T __GI_inet_pton
000000000040eabf T inet_pton
000000000040ecac t inet_ntop4
000000000040edc4 T __GI_inet_ntop
000000000040edc4 T inet_ntop
000000000040efd4 T __encode_header
000000000040f078 T __decode_header
000000000040f11c T __encode_question
000000000040f16c T __length_question
000000000040f180 T __decode_answer
000000000040f274 T __open_etc_hosts
000000000040f29e T __read_etc_hosts_r
000000000040f5dc W __GI_lseek64
000000000040f5dc T __libc_lseek64
000000000040f5dc W lseek64
000000000040f5e4 T __GI___libc_lseek
000000000040f5e4 W __GI_lseek
000000000040f5e4 T __libc_lseek
000000000040f5e4 W lseek
000000000040f614 T __GI_tolower
000000000040f614 T tolower
000000000040f634 T __GI___fgetc_unlocked
000000000040f634 T __GI_fgetc_unlocked
000000000040f634 T __GI_getc_unlocked
000000000040f634 T __fgetc_unlocked
000000000040f634 T fgetc_unlocked
000000000040f634 T getc_unlocked
000000000040f714 T __GI_strcasecmp
000000000040f714 T strcasecmp
000000000040f744 T __encode_dotted
000000000040f7e4 T __decode_dotted
000000000040f8dc T __length_dotted
000000000040f918 T __stdio_READ
000000000040f954 T __stdio_rfill
000000000040f97c T __stdio_trans2r_o
000000000040f9e0 t __do_global_ctors_aux
000000000040fa18 T _fini
0000000000410780 r hextable
00000000004122c0 r C.125.6137
0000000000412cc0 R __C_ctype_b_data
0000000000412cc0 R __GI___C_ctype_b_data
0000000000412fc0 R __C_ctype_toupper_data
0000000000412fc0 R __GI___C_ctype_toupper_data
00000000004132c0 r __stdio_mutex_initializer.4280
00000000004132f5 r prefix.4494
0000000000413301 r spec_base.4493
0000000000413310 r qual_chars.4498
0000000000413330 r spec_and_mask.4497
0000000000413340 r spec_or_mask.4496
0000000000413350 r spec_ranges.4495
0000000000413360 r spec_chars.4494
0000000000413375 r spec_flags.4493
0000000000413380 r type_codes
0000000000413398 r type_sizes
00000000004133a4 r unknown.2050
00000000004133c0 R _string_syserrmsgs
0000000000413f20 r random_poly_info
0000000000414420 r fmt
0000000000414440 r exp10_table
00000000004145c0 r xdigits.3747
0000000000414600 R __C_ctype_tolower_data
0000000000414600 R __GI___C_ctype_tolower_data
0000000000414900 r __EH_FRAME_BEGIN__
0000000000414900 r __FRAME_END__
0000000000514904 a __fini_array_end
0000000000514904 a __fini_array_start
0000000000514904 a __init_array_end
0000000000514904 a __init_array_start
0000000000514904 a __preinit_array_end
0000000000514904 a __preinit_array_start
0000000000514908 d __CTOR_LIST__
0000000000514910 d __CTOR_END__
0000000000514918 d __DTOR_LIST__
0000000000514920 d __DTOR_END__
0000000000514928 d __JCR_END__
0000000000514928 d __JCR_LIST__
0000000000514940 D __dso_handle
0000000000514948 d p.2759
0000000000514950 D __data_start
0000000000514950 W data_start
0000000000514960 D hacks
0000000000514964 D hacks2
0000000000514968 D hacks3
